event,event_time,symbol,kline_open_time,kline_close_time,symbol,interval,first_trade_id,last_trade_id,open_price,close_price,highest_price,lowest_price,base_asset_volume,number_of_trades,is_closed,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
kline,1685575209471,ETHUSDT,1685575200000,1685575259999,ETHUSDT,1m,1158341373,1158341414,1869.38000000,1869.61000000,1869.62000000,1869.37000000,5.73620000,42,False,10723.55415900,2.65700000,4967.37801300,0
kline,1685575212471,ETHUSDT,1685575200000,1685575259999,ETHUSDT,1m,1158341373,1158341415,1869.38000000,1869.61000000,1869.62000000,1869.37000000,5.75770000,43,False,10763.75077400,2.65700000,4967.37801300,0
kline,1685575214805,ETHUSDT,1685575200000,1685575259999,ETHUSDT,1m,1158341373,1158341433,1869.38000000,1869.79000000,1869.79000000,1869.37000000,8.99860000,61,False,16823.32600600,3.63330000,6792.78595500,0
kline,1685575217412,ETHUSDT,1685575200000,1685575259999,ETHUSDT,1m,1158341373,1158341441,1869.38000000,1869.79000000,1869.79000000,1869.37000000,11.34960000,69,False,21219.20229600,3.63330000,6792.78595500,0
kline,1685575220009,ETHUSDT,1685575200000,1685575259999,ETHUSDT,1m,1158341373,1158341444,1869.38000000,1869.80000000,1869.80000000,1869.37000000,11.73810000,72,False,21945.61951200,4.01340000,7503.49693500,0
kline,1685575222472,ETHUSDT,1685575200000,1685575259999,ETHUSDT,1m,1158341373,1158341446,1869.38000000,1869.80000000,1869.80000000,1869.37000000,11.89290000,74,False,22235.06455200,4.16820000,7792.94197500,0
kline,1685575226967,ETHUSDT,1685575200000,1685575259999,ETHUSDT,1m,1158341373,1158341447,1869.38000000,1869.83000000,1869.83000000,1869.37000000,11.98680000,75,False,22410.64158900,4.26210000,7968.51901200,0
kline,1685575229473,ETHUSDT,1685575200000,1685575259999,ETHUSDT,1m,1158341373,1158341473,1869.38000000,1869.73000000,1869.83000000,1869.37000000,37.79480000,101,False,70666.81706500,4.27560000,7993.76114100,0
kline,1685575231881,ETHUSDT,1685575200000,1685575259999,ETHUSDT,1m,1158341373,1158341486,1869.38000000,1869.60000000,1869.83000000,1869.37000000,38.58370000,114,False,72141.78215300,4.28800000,8016.94591700,0
kline,1685575234003,ETHUSDT,1685575200000,1685575259999,ETHUSDT,1m,1158341373,1158341492,1869.38000000,1869.50000000,1869.83000000,1869.37000000,42.27490000,120,False,79042.49829400,4.28800000,8016.94591700,0
kline,1685575236497,ETHUSDT,1685575200000,1685575259999,ETHUSDT,1m,1158341373,1158341493,1869.38000000,1869.45000000,1869.83000000,1869.37000000,42.28240000,121,False,79056.51916900,4.28800000,8016.94591700,0
kline,1685575239473,ETHUSDT,1685575200000,1685575259999,ETHUSDT,1m,1158341373,1158341499,1869.38000000,1869.40000000,1869.83000000,1869.37000000,42.41490000,127,False,79304.21587700,4.33320000,8101.44324900,0
kline,1685575242907,ETHUSDT,1685575200000,1685575259999,ETHUSDT,1m,1158341373,1158341500,1869.38000000,1869.40000000,1869.83000000,1869.37000000,42.82150000,128,False,80064.31391700,4.33320000,8101.44324900,0
kline,1685575245473,ETHUSDT,1685575200000,1685575259999,ETHUSDT,1m,1158341373,1158341501,1869.38000000,1869.40000000,1869.83000000,1869.37000000,42.82160000,129,False,80064.50085700,4.33320000,8101.44324900,0
kline,1685575248473,ETHUSDT,1685575200000,1685575259999,ETHUSDT,1m,1158341373,1158341503,1869.38000000,1869.40000000,1869.83000000,1869.37000000,42.85860000,131,False,80133.66895600,4.36310000,8157.33860800,0
kline,1685575251473,ETHUSDT,1685575200000,1685575259999,ETHUSDT,1m,1158341373,1158341504,1869.38000000,1869.40000000,1869.83000000,1869.37000000,42.86390000,132,False,80143.57677600,4.36310000,8157.33860800,0
kline,1685575254474,ETHUSDT,1685575200000,1685575259999,ETHUSDT,1m,1158341373,1158341519,1869.38000000,1869.28000000,1869.83000000,1869.28000000,46.18050000,147,False,86343.54029900,4.36310000,8157.33860800,0
kline,1685575258474,ETHUSDT,1685575200000,1685575259999,ETHUSDT,1m,1158341373,1158341521,1869.38000000,1869.28000000,1869.83000000,1869.28000000,46.18580000,149,False,86353.44748300,4.36310000,8157.33860800,0
kline,1685575260003,ETHUSDT,1685575200000,1685575259999,ETHUSDT,1m,1158341373,1158341535,1869.38000000,1869.28000000,1869.83000000,1869.28000000,46.72350000,163,True,87358.56103400,4.53260000,8474.18326300,0
kline,1685575262040,ETHUSDT,1685575260000,1685575319999,ETHUSDT,1m,1158341536,1158341553,1869.28000000,1869.28000000,1869.29000000,1869.28000000,0.57330000,18,False,1071.66210700,0.38830000,725.84530700,0
kline,1685575264123,ETHUSDT,1685575260000,1685575319999,ETHUSDT,1m,1158341536,1158341567,1869.28000000,1869.40000000,1869.41000000,1869.28000000,25.59280000,32,False,47841.27869700,25.39980000,47480.50669700,0
